player_name,espn_id,team,position,season,category,fetched_at,GP,REC,TGTS,BIG,YDS/G,FUM,LST,YAC,FD,REC_YDS,REC_TD,REC_AVG,REC_LNG
Antonio Brown,13934,PIT,WR,2017,receiving,2026-07-03T11:34:38.442993,14.0,101.0,162.0,27.0,109.5,3.0,0.0,492.0,71.0,1533.0,9.0,15.2,57.0
Julio Jones,13982,ATL,WR,2017,receiving,2026-07-03T11:34:38.442993,16.0,88.0,149.0,23.0,90.3,0.0,0.0,457.0,67.0,1444.0,3.0,16.4,53.0
Keenan Allen,15818,LAC,WR,2017,receiving,2026-07-03T11:34:38.442993,16.0,102.0,159.0,18.0,87.1,1.0,0.0,458.0,74.0,1393.0,6.0,13.7,51.0
DeAndre Hopkins,15795,HOU,WR,2017,receiving,2026-07-03T11:34:38.442993,15.0,96.0,176.0,24.0,91.9,1.0,1.0,349.0,69.0,1378.0,13.0,14.4,72.0
Adam Thielen,16460,MIN,WR,2017,receiving,2026-07-03T11:34:38.442993,16.0,91.0,143.0,20.0,79.8,3.0,2.0,422.0,59.0,1276.0,4.0,14.0,65.0
Michael Thomas,2976316,NO,WR,2017,receiving,2026-07-03T11:34:38.442993,16.0,104.0,149.0,22.0,77.8,0.0,0.0,423.0,70.0,1245.0,5.0,12.0,43.0
Tyreek Hill,3116406,KC,WR,2017,receiving,2026-07-03T11:34:38.442993,15.0,75.0,105.0,15.0,78.9,0.0,0.0,467.0,41.0,1183.0,7.0,15.8,79.0
Larry Fitzgerald,5528,ARI,WR,2017,receiving,2026-07-03T11:34:38.442993,16.0,109.0,161.0,16.0,72.3,1.0,1.0,405.0,66.0,1156.0,6.0,10.6,37.0
Marvin Jones Jr.,15072,DET,WR,2017,receiving,2026-07-03T11:34:38.442993,16.0,61.0,108.0,20.0,68.8,0.0,0.0,201.0,44.0,1101.0,9.0,18.0,58.0
Rob Gronkowski,13229,NE,TE,2017,receiving,2026-07-03T11:34:38.442993,14.0,69.0,106.0,18.0,77.4,1.0,0.0,362.0,57.0,1084.0,8.0,15.7,53.0
Brandin Cooks,16731,NE,WR,2017,receiving,2026-07-03T11:34:38.442993,16.0,65.0,114.0,18.0,67.6,0.0,0.0,235.0,42.0,1082.0,7.0,16.6,64.0
A.J. Green,13983,CIN,WR,2017,receiving,2026-07-03T11:34:38.442993,16.0,75.0,145.0,9.0,67.4,2.0,2.0,309.0,55.0,1078.0,8.0,14.4,77.0
Travis Kelce,15847,KC,TE,2017,receiving,2026-07-03T11:34:38.442993,15.0,83.0,123.0,19.0,69.2,0.0,0.0,441.0,55.0,1038.0,8.0,12.5,44.0
Golden Tate,13217,DET,WR,2017,receiving,2026-07-03T11:34:38.442993,16.0,92.0,122.0,10.0,62.7,1.0,1.0,546.0,44.0,1003.0,5.0,10.9,71.0
Mike Evans,16737,TB,WR,2017,receiving,2026-07-03T11:34:38.442993,15.0,71.0,135.0,9.0,66.7,1.0,0.0,132.0,55.0,1001.0,5.0,14.1,42.0
Doug Baldwin,14221,SEA,WR,2017,receiving,2026-07-03T11:34:38.442993,16.0,75.0,117.0,18.0,61.9,0.0,0.0,262.0,44.0,991.0,8.0,13.2,54.0
Jarvis Landry,16790,MIA,WR,2017,receiving,2026-07-03T11:34:38.442993,16.0,112.0,160.0,6.0,61.7,3.0,2.0,466.0,60.0,987.0,9.0,8.8,49.0
T.Y. Hilton,14924,IND,WR,2017,receiving,2026-07-03T11:34:38.442993,16.0,57.0,108.0,14.0,60.4,2.0,1.0,290.0,38.0,966.0,4.0,16.9,80.0
Marquise Goodwin,15839,SF,WR,2017,receiving,2026-07-03T11:34:38.442993,16.0,56.0,105.0,13.0,60.1,0.0,0.0,195.0,46.0,962.0,2.0,17.2,83.0
Demaryius Thomas,13216,DEN,WR,2017,receiving,2026-07-03T11:34:38.442993,16.0,83.0,141.0,15.0,59.3,1.0,1.0,272.0,53.0,949.0,5.0,11.4,40.0
Robbie Chosen,2574808,NYJ,WR,2017,receiving,2026-07-03T11:34:38.442993,16.0,63.0,114.0,17.0,58.8,0.0,0.0,291.0,36.0,941.0,7.0,14.9,69.0
