player_name,espn_id,team,position,season,category,fetched_at,GP,SOLO,AST,TOT,TFL,PD,FF,FR,FTD,SACKS,INT_DEF,DEF_YDS,DEF_TD,DEF_LNG
Preston Brown,16762,BUF,LB,2017,defense,2026-07-03T11:34:51.953860,16.0,83.0,61.0,144.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Schobert,2977819,CLE,LB,2017,defense,2026-07-03T11:34:51.953860,16.0,88.0,56.0,144.0,8.0,4.0,3.0,0.0,0.0,3.0,1.0,8.0,0.0,8.0
Blake Martinez,2978273,GB,LB,2017,defense,2026-07-03T11:34:51.953860,16.0,96.0,48.0,144.0,12.0,8.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,3.0
Christian Kirksey,16767,CLE,LB,2017,defense,2026-07-03T11:34:51.953860,16.0,85.0,53.0,138.0,11.0,5.0,2.0,1.0,0.0,3.5,0.0,0.0,0.0,0.0
Deion Jones,2976545,ATL,LB,2017,defense,2026-07-03T11:34:51.953860,16.0,91.0,47.0,138.0,12.0,9.0,0.0,0.0,0.0,1.0,3.0,42.0,0.0,41.0
Demario Davis,14958,NYJ,LB,2017,defense,2026-07-03T11:34:51.953860,16.0,97.0,38.0,135.0,15.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0
Bobby Wagner,14979,SEA,LB,2017,defense,2026-07-03T11:34:51.953860,16.0,97.0,36.0,133.0,15.0,6.0,0.0,1.0,1.0,1.5,2.0,7.0,0.0,7.0
C.J. Mosley,16720,BAL,LB,2017,defense,2026-07-03T11:34:51.953860,16.0,96.0,36.0,132.0,12.0,7.0,3.0,3.0,0.0,1.0,2.0,94.0,1.0,63.0
NaVorro Bowman,13262,OAK/SF,LB,2017,defense,2026-07-03T11:34:51.953860,15.0,80.0,47.0,127.0,8.0,3.0,0.0,1.0,0.0,1.5,1.0,0.0,0.0,0.0
Zach Brown,14973,WSH,LB,2017,defense,2026-07-03T11:34:51.953860,13.0,84.0,43.0,127.0,14.0,2.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0
Luke Kuechly,14938,CAR,LB,2017,defense,2026-07-03T11:34:51.953860,15.0,74.0,51.0,125.0,12.0,5.0,1.0,2.0,1.0,1.5,3.0,23.0,0.0,23.0
Wesley Woodyard,11609,TEN,LB,2017,defense,2026-07-03T11:34:51.953860,16.0,84.0,40.0,124.0,14.0,5.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0
Reshad Jones,13395,MIA,S,2017,defense,2026-07-03T11:34:51.953860,16.0,94.0,28.0,122.0,6.0,5.0,0.0,3.0,2.0,1.5,2.0,15.0,0.0,15.0
Keanu Neal,3054962,ATL,S,2017,defense,2026-07-03T11:34:51.953860,16.0,83.0,33.0,116.0,5.0,6.0,3.0,2.0,0.0,0.0,1.0,19.0,0.0,19.0
Kiko Alonso,15819,MIA,LB,2017,defense,2026-07-03T11:34:51.953860,16.0,78.0,37.0,115.0,7.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Eric Kendricks,2510863,MIN,LB,2017,defense,2026-07-03T11:34:51.953860,16.0,67.0,46.0,113.0,8.0,6.0,0.0,0.0,0.0,1.0,1.0,31.0,1.0,31.0
Tahir Whitehead,15070,DET,LB,2017,defense,2026-07-03T11:34:51.953860,16.0,78.0,32.0,110.0,10.0,2.0,0.0,4.0,0.0,1.0,1.0,18.0,0.0,18.0
K.J. Wright,14140,SEA,LB,2017,defense,2026-07-03T11:34:51.953860,15.0,71.0,37.0,108.0,6.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
Antonio Morrison,2971051,IND,LB,2017,defense,2026-07-03T11:34:51.953860,15.0,64.0,44.0,108.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Marshall,15002,DEN,LB,2017,defense,2026-07-03T11:34:51.953860,16.0,75.0,31.0,106.0,8.0,4.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
Landon Collins,2979841,NYG,S,2017,defense,2026-07-03T11:34:51.953860,15.0,78.0,26.0,104.0,4.0,6.0,1.0,2.0,0.0,0.0,2.0,21.0,0.0,21.0
Telvin Smith,16891,JAX,LB,2017,defense,2026-07-03T11:34:51.953860,14.0,76.0,26.0,102.0,12.0,5.0,1.0,2.0,1.0,1.0,3.0,56.0,1.0,28.0
Sean Lee,13284,DAL,LB,2017,defense,2026-07-03T11:34:51.953860,11.0,70.0,31.0,101.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,9.0
Lavonte David,14985,TB,LB,2017,defense,2026-07-03T11:34:51.953860,13.0,76.0,25.0,101.0,8.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
Matthias Farley,2579840,IND,S,2017,defense,2026-07-03T11:34:51.953860,16.0,60.0,38.0,98.0,3.0,7.0,1.0,1.0,0.0,0.0,2.0,9.0,0.0,9.0
Devin McCourty,13236,NE,S,2017,defense,2026-07-03T11:34:51.953860,16.0,80.0,17.0,97.0,3.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Jon Bostic,15827,IND,LB,2017,defense,2026-07-03T11:34:51.953860,14.0,57.0,40.0,97.0,9.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Kwon Alexander,2976541,TB,LB,2017,defense,2026-07-03T11:34:51.953860,12.0,70.0,27.0,97.0,8.0,4.0,1.0,0.0,0.0,0.0,3.0,70.0,0.0,28.0
Jahleel Addae,16039,LAC,S,2017,defense,2026-07-03T11:34:51.953860,16.0,66.0,30.0,96.0,10.0,7.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Jarrad Davis,3054951,DET,LB,2017,defense,2026-07-03T11:34:51.953860,14.0,65.0,31.0,96.0,6.0,3.0,1.0,1.0,0.0,2.0,1.0,12.0,0.0,12.0
Karlos Dansby,5558,ARI,LB,2017,defense,2026-07-03T11:34:51.953860,16.0,74.0,21.0,95.0,6.0,4.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,4.0
Alec Ogletree,15806,LAR,LB,2017,defense,2026-07-03T11:34:51.953860,15.0,63.0,32.0,95.0,4.0,10.0,1.0,1.0,0.0,2.0,1.0,41.0,1.0,41.0
Jordan Poyer,15979,BUF,S,2017,defense,2026-07-03T11:34:51.953860,15.0,63.0,32.0,95.0,4.0,13.0,0.0,1.0,0.0,2.0,5.0,33.0,1.0,19.0
Benardrick McKinney,2577429,HOU,LB,2017,defense,2026-07-03T11:34:51.953860,16.0,62.0,33.0,95.0,10.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Darron Lee,3051398,NYJ,LB,2017,defense,2026-07-03T11:34:51.953860,15.0,67.0,27.0,94.0,10.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Avery Williamson,16920,TEN,LB,2017,defense,2026-07-03T11:34:51.953860,16.0,52.0,40.0,92.0,6.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Sean Davis,2976210,PIT,S,2017,defense,2026-07-03T11:34:51.953860,16.0,71.0,21.0,92.0,8.0,8.0,1.0,0.0,0.0,1.0,3.0,76.0,0.0,41.0
De'Vondre Campbell,3040180,ATL,LB,2017,defense,2026-07-03T11:34:51.953860,16.0,61.0,31.0,92.0,5.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Christian Jones,17070,CHI,LB,2017,defense,2026-07-03T11:34:51.953860,16.0,60.0,30.0,90.0,6.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
Patrick Onwuasor,2576761,BAL,LB,2017,defense,2026-07-03T11:34:51.953860,16.0,67.0,23.0,90.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Myles Jack,3047566,JAX,LB,2017,defense,2026-07-03T11:34:51.953860,16.0,66.0,24.0,90.0,7.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
Zach Cunningham,3051750,HOU,LB,2017,defense,2026-07-03T11:34:51.953860,16.0,48.0,42.0,90.0,8.0,6.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
Reggie Nelson,10465,OAK,S,2017,defense,2026-07-03T11:34:51.953860,16.0,60.0,29.0,89.0,2.0,5.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0
Ramon Humber,12988,BUF,LB,2017,defense,2026-07-03T11:34:51.953860,13.0,60.0,29.0,89.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Danny Trevathan,15074,CHI,LB,2017,defense,2026-07-03T11:34:51.953860,12.0,60.0,29.0,89.0,3.0,5.0,1.0,1.0,0.0,2.0,1.0,8.0,0.0,8.0
