player_name,espn_id,team,position,season,category,fetched_at,GP,SOLO,AST,TOT,TFL,PD,FF,FR,FTD,SACKS,INT_DEF,DEF_YDS,DEF_TD,DEF_LNG
Bobby Wagner,14979,SEA,LB,2016,defense,2026-07-03T11:33:34.960898,16.0,85.0,82.0,167.0,10.0,3.0,0.0,1.0,0.0,4.5,1.0,9.0,0.0,9.0
Zach Brown,14973,BUF,LB,2016,defense,2026-07-03T11:33:34.960898,16.0,97.0,52.0,149.0,15.0,4.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
Christian Kirksey,16767,CLE,LB,2016,defense,2026-07-03T11:33:34.960898,16.0,96.0,52.0,148.0,13.0,3.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0
Sean Lee,13284,DAL,LB,2016,defense,2026-07-03T11:33:34.960898,15.0,93.0,52.0,145.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kwon Alexander,2976541,TB,LB,2016,defense,2026-07-03T11:33:34.960898,16.0,108.0,37.0,145.0,12.0,7.0,1.0,1.0,0.0,3.0,1.0,38.0,1.0,38.0
Preston Brown,16762,BUF,LB,2016,defense,2026-07-03T11:33:34.960898,16.0,79.0,60.0,139.0,9.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Alec Ogletree,15806,LAR,LB,2016,defense,2026-07-03T11:33:34.960898,16.0,98.0,38.0,136.0,9.0,11.0,1.0,1.0,0.0,0.0,2.0,15.0,0.0,8.0
Paul Posluszny,10478,JAX,LB,2016,defense,2026-07-03T11:33:34.960898,16.0,96.0,36.0,132.0,11.0,3.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0
Tahir Whitehead,15070,DET,LB,2016,defense,2026-07-03T11:33:34.960898,15.0,99.0,33.0,132.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zachary Orr,17300,BAL,LB,2016,defense,2026-07-03T11:33:34.960898,15.0,91.0,41.0,132.0,8.0,5.0,1.0,2.0,0.0,0.0,3.0,23.0,0.0,14.0
Benardrick McKinney,2577429,HOU,LB,2016,defense,2026-07-03T11:33:34.960898,16.0,79.0,50.0,129.0,9.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Johnathan Cyprien,15831,JAX,S,2016,defense,2026-07-03T11:33:34.960898,16.0,97.0,31.0,128.0,5.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
K.J. Wright,14140,SEA,LB,2016,defense,2026-07-03T11:33:34.960898,16.0,72.0,54.0,126.0,13.0,5.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
Landon Collins,2979841,NYG,S,2016,defense,2026-07-03T11:33:34.960898,16.0,100.0,25.0,125.0,10.0,13.0,0.0,1.0,0.0,4.0,5.0,72.0,1.0,44.0
Mason Foster,14023,WSH,LB,2016,defense,2026-07-03T11:33:34.960898,16.0,89.0,35.0,124.0,7.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mark Barron,14932,LAR,LB,2016,defense,2026-07-03T11:33:34.960898,16.0,91.0,27.0,118.0,7.0,8.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,7.0
Telvin Smith,16891,JAX,LB,2016,defense,2026-07-03T11:33:34.960898,16.0,98.0,20.0,118.0,14.0,8.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
