player_name,espn_id,team,position,season,category,fetched_at,GP,SOLO,AST,TOT,TFL,PD,FF,FR,FTD,SACKS,INT_DEF,DEF_YDS,DEF_TD,DEF_LNG
NaVorro Bowman,13262,SF,LB,2015,defense,2026-07-03T11:32:34.605355,16.0,116.0,38.0,154.0,0.0,2.0,1.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0
D'Qwell Jackson,9620,IND,LB,2015,defense,2026-07-03T11:32:34.605355,16.0,89.0,61.0,150.0,0.0,9.0,1.0,0.0,0.0,3.0,1.0,6.0,1.0,6.0
Lavonte David,14985,TB,LB,2015,defense,2026-07-03T11:32:34.605355,16.0,85.0,62.0,147.0,0.0,13.0,2.0,2.0,0.0,3.0,3.0,19.0,1.0,20.0
Reshad Jones,13395,MIA,S,2015,defense,2026-07-03T11:32:34.605355,16.0,106.0,29.0,135.0,0.0,10.0,0.0,1.0,0.0,2.0,5.0,104.0,2.0,42.0
Paul Posluszny,10478,JAX,LB,2015,defense,2026-07-03T11:32:34.605355,14.0,103.0,30.0,133.0,0.0,6.0,0.0,0.0,0.0,1.0,3.0,25.0,0.0,19.0
Sean Lee,13284,DAL,LB,2015,defense,2026-07-03T11:32:34.605355,14.0,76.0,52.0,128.0,0.0,5.0,0.0,0.0,0.0,2.5,1.0,0.0,0.0,0.0
Telvin Smith,16891,JAX,LB,2015,defense,2026-07-03T11:32:34.605355,14.0,99.0,29.0,128.0,0.0,7.0,2.0,0.0,0.0,2.5,1.0,26.0,1.0,26.0
Corey Graham,10611,BUF,S,2015,defense,2026-07-03T11:32:34.605355,16.0,96.0,31.0,127.0,0.0,4.0,0.0,2.0,0.0,1.0,2.0,60.0,1.0,44.0
Malcolm Smith,14214,OAK,LB,2015,defense,2026-07-03T11:32:34.605355,16.0,99.0,23.0,122.0,0.0,6.0,2.0,0.0,0.0,4.0,1.0,27.0,0.0,27.0
Daryl Smith,5564,BAL,LB,2015,defense,2026-07-03T11:32:34.605355,16.0,72.0,49.0,121.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,-1.0,0.0,-1.0
Preston Brown,16762,BUF,LB,2015,defense,2026-07-03T11:32:34.605355,16.0,66.0,54.0,120.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,46.0,1.0,43.0
Lawrence Timmons,10459,PIT,LB,2015,defense,2026-07-03T11:32:34.605355,16.0,77.0,42.0,119.0,0.0,6.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0
Luke Kuechly,14938,CAR,LB,2015,defense,2026-07-03T11:32:34.605355,13.0,76.0,42.0,118.0,0.0,10.0,2.0,1.0,0.0,1.0,4.0,48.0,1.0,32.0
Barry Church,13338,DAL,S,2015,defense,2026-07-03T11:32:34.605355,15.0,78.0,39.0,117.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Mosley,16720,BAL,LB,2015,defense,2026-07-03T11:32:34.605355,16.0,77.0,40.0,117.0,0.0,7.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0
Derrick Johnson,8430,KC,LB,2015,defense,2026-07-03T11:32:34.605355,16.0,95.0,21.0,116.0,0.0,8.0,2.0,0.0,0.0,4.0,2.0,23.0,0.0,18.0
